3zzf NLG
5fom A2H
5ick 11-mer
5oa2 9PW
6g2e EHH
6njz 17-mer
6p89 O4A
1fsg 9DG
1u9l 13-mer
2cct 2E1
2d0k FOL
2m3m 11-mer
2or4 QUS
2wji GNP
2xbp ATP
3bgc LJH
3smq TDU
3usx MYR
4dow 12-mer
4est 5-mer
4l7r M00
4mz6 13-mer
4nro AKG
4rlk E91
4rll E91
4u70 Q04
4w4s B29
4w9l 3JJ
5d1s 56Q
5du6 G59
5ff6 12-mer
5iok 8-mer
6hbm GZL
6hgf HCY
1i1e DM2
2qt5 9-mer
3aje THR
3rdh 3RD
4io5 ALA
4jjq 10-mer
4np9 I3P
4rcg GDP
4trz 4-mer
4y6s 48S
4y7r 8-mer
4yat 4A8
5huy 12-mer
5mlw 11-mer
5mrm Q9T
5n3y 8L2
5nyz DUP
5nz2 DUP
5wio XXE
5x4p 7ZO
6b27 14-mer
6bhd 18-mer
6emu SAM
6fby 8-mer
6fmi DV2
6mo7 JWA
1m5d BRH
1mfa 3-mer
2h2g 11-mer
2jmj 10-mer
2oht IP6
2w85 12-mer
2wmv ZYV
3tz0 03H
3v4j PQR
4dgr 3LV
4jaz STL
4jym KKN
4lk7 2-mer
4lph YL3
4uu5 17-mer
4yp1 2BA
4yuz 4JV
4z7n 4-mer
4z7o 4-mer
5d3n L40
5f25 5TU
5loh STU
5lyn 7-mer
5ovp 7-mer
5xyy P0F
6ajv HCC
6ajx HCC
6ayn 11-mer
6cyi N5O
6j7e AGS
1dgm ADN
1fkw PUR
1gi8 BMZ
1qxk 429
1uu8 BI1
2brc CT5
2n9e 15-mer
3aau GZC
3fpm 793
3hxd BD7
3s2o EV6
3s76 EVH
3sxu 5-mer
3uzd 17-mer
3zjc GNP
4c94 KXN
4euo ABU
4fmq 17-mer
4ie7 RHN
4kvm 5-mer
4oct AKG
4oeg SUS-IDY
4pnw 2VM
4rqv R2S
4wci 16-mer
4y2y 49Z
4yzu 4K6
5acx WL3
5auw QUE
5f29 2BA
5i3a HQE
5lb7 9-mer
5nxy 1Y8
5ok6 14-mer
5xhs 3-mer
5xvk 8GC
5xvq 8GC
6agp MG
6b67 7-mer
6bmi SER
6d50 GCB
6da1 17-mer
6dat 17-mer
6eww 8-mer
6exi ADN
6kjd LVA
6mlg ARG
6r1k JPB
2h6k 8-mer
2ipo 1IP
2v77 PAY
2vwf 15-mer
2yge GDM
3f68 91U
3p9h 11-mer
4cfx G6T
4ebw 0PF
4h7q COI
4j7i 11-mer
5a2i 6-mer
5c1w 4XS
5ega GK0
5h14 LQB
5i0b 67U
5icy 12-mer
5luu 77X
5ops A3Q
5tri 7HM
5vjn IR8
6qlo J5E
2c3l IDZ
2i7c AAT
2xm1 LTM
2yfa LMR
3axm 6PG
3juo AJD
3r00 UNJ
4eok 4SP
4f8j HC4
4yab 4CN
5ak3 XM0
5dg6 V66
5hwv MBN
5j7j 19-mer
5l87 6RD
5u12 5RU
6axp 11-mer
6dik GKP
6dq6 H6J
6fym EBB
6i76 H5N
6j9y MAL
6jtc C8O
6n0k K8M
6nnr UMC
6qr1 JFT
6r4k JSK
1enu APZ
1gfy COL
2qtg MTH
3efr BTN
3m94 M7M
3nw5 LGX
3qsb 743
3qyy C2E
3snd 6-mer
3tb6 ARB
3w2o 03P
4drk I63
4ie0 PD2
4mho 26M
4ock ANP
4ocv ANP
4od7 9-mer
4oiv XX9
4twd 377
4xx9 RF4
4z2h M6A
5gmj 19-mer
5i13 4P9
5j32 IPM
5n2t 8KK
5trh 7HL
6d16 FUJ
6jid BQC
1m48 FRG
1nw7 SAH
1yyy 0KV
1zkl IBM
2y1o T26
2ygf GDM
2yk9 YK9
3hbo 2NC
3o4l 9-mer
3w2p W2P
4c72 TLG
4cq0 SXS
4f6x ZYL
4qvy BO2
4r4q 3HZ
4utv 9-mer
4x3u SVR
4xpj LPY
5fhm 5XP
5h5s 14-mer
5hkh 9-mer
5jmx DZ5
5o9p 9P8
6e86 8-mer
6n3x KBD
1b9t RAI
1ez9 4-mer
1kmy BPY
1m6p M6P
1o0o A2P
1od8 XDL-XYP
1onz 968
1rlp 9-mer
1rlq 9-mer
1t4j FRJ
1v0k XDN-XYP
1v0m XDN-XYP
1vj6 10-mer
1w7g MIU
1x8s 12-mer
1yvx IPC
1zaj M2P
2am2 2LG
2d1x 15-mer
2h5a X1P
2m41 15-mer
2pnx 12-mer
2qrq S13
2r02 11-mer
2r9w 23C
3bxs DRS
3gy4 PBZ
3h22 B53
3nif NIF
3p4v PMX
3qw8 5-mer
3syr GPK
3u3f 17-mer
3ujb SAH
3vp2 BP0
3zvy 8-mer
4b77 54M
4cdr 9-mer
4dcs GDP
4ejf 18-mer
4h3q 13-mer
4iho 9-mer
4qsh 2BA
4qsk 2BA
4qvn BO2
4rkx 3S9
4rn6 15U
4tk3 11-mer
4tk4 11-mer
4ux9 12-mer
4ydf 4B1
5d3h 57G
5f39 5UB
5iv2 12-mer
5q1h 9NP
5xhr PXH
6ap8 BNY
6c9q 5N5
6ce6 EYP
6hoi 10-mer
6hrx GO8
6md6 JSV
6s56 KVZ
6s57 KVT
1k4h APQ
1yp9 UIZ
2h6q 9-mer
3gpj SY2
3hnb 768
3k4d EVA
3ozj BGV
4b6u M7G
4e49 RCO
4em7 0RA
4gly 14-mer
4qfl 2-mer
5c7d 4YF
5kej GTX
5lbq 767
5lm6 H32
5ngf 8WN
5ogk GDD
5szb 18-mer
5u0e 7R4
5vqu 9JP
5y0x 8JR
6f0y 15-mer
6jdi AGS
6mtv 8-mer
6n7y KFA
1qaw TRP
1uv6 CCE
2i5f 5IP
2web PP4
2y8o 14-mer
2yjw YJW
2yjx YJX
3bki FQX
3hb8 UMP
3kad 4C0
3n2c LWY
3nkx 10-mer
3tu9 5MM
3zso O2N
4ay6 12V
4bio 8XQ
4f1l 0RY
4gj6 0LS
4h81 WJ2
4kiw KIW
4m5n YH7
4pci 2NJ
4zed AGW
5d1w PLM
5f74 AMP
5vsb 9QA
5wkm N02/B6Y
5y1u 12-mer
6bh8 RDF
6i13 H0Q
6n95 YXS
6o3w 14-mer
6qe5 SAH
1gcz YZ9
1hti PGA
2kwn 15-mer
2x4t 9-mer
3aza KM0
3o8g O8G
3s9e GLU
3wk4 S0A
4ezt 9-mer
4flj Y08
4l7c 1VW
4qms 1N1
5d3p 57E
5hda 9-mer
6f9u D0W
6j9w TRE
6st0 LUQ
1pmx 16-mer
1w2x RCP
1y3x UIB
1zzz 0IV
2br1 PFP
2hqu DUP
2lct 13-mer
2xi7 XI7
2yaz UMP
2zjv CT4
3bls APB
3kr2 ET2
3pj2 04K
3sow 9-mer
3tao PGH
3wuu 14-mer
4aua 4AU
4bdj Z2M
4c1g MCO
4ejl IOP
4iks TFD
4qw0 BO2
4xjt 41Z
5btr 5-mer
5kva SAM
5q11 9M7
5xbt C2E
5zh4 9CC
6b7c CWP
6dak G1Y
6gw1 CHO
6gzl 17-mer
6m8d J8D
6mvx K4D
6mx3 K5P
6qcg 14-mer
1g6s S3P
1jcx PAI
1jvu C2P
1kna 15-mer
1ljt HDI
1lkx ADP
1mzs 669
1o0m U2P
1pb8 DSN
1qk3 5GP
1qxw M1C
1s38 MAQ
1skj UR2
1t1s CBQ
1thz 326
2afx 1BN
2go4 TUX
2gtv TSA
2knh 18-mer
2o5d VR1
2ooz OX5
2r03 8-mer
2r05 11-mer
2xrw 14-mer
2xs0 14-mer
3b95 15-mer
3e6k ABH
3l5c BDQ
3msl EV5
3n49 3N4
3ozr OZR
3p8e LN7
3udn 09B
4b83 B3V
4h85 HRI
4jpx PHE
4pce 2N0
4qip SDS
4qrh 0O2
4qvv BO2
4qzw 04C
4w9e 3JT
5alw JQN
5djp 5BJ
5gp7 10-mer
5kqg 6VX
5mwz KGU
5oai B5K
5vew 97Y
5xg4 QUE
5y2f 8L9
5zqu 9HF
6aro BS7
6b95 D0P
6f8t CZT
6jn5 BXU
6n7q 13-mer
6n97 KGP
6ntb ATP
6nu5 CYS
1jqd SAH
1oe0 TTP
1q1m 234
2ltv 12-mer
2y2k ZA5
3b27 B2T
3ctr MGP
3lqi 9-mer
4fqo AZ3
5ow8 AYN
5th7 75P
5ufc 3-mer
5v83 8Z7
6jn3 BX6
6mjf SAH
6om8 UDX
6peg 4FQ
6pnn OR7
1q0b NAT
2f5t MAL
2ynn 8-mer
2zfp 19U
3b7j JUG
3eht 16-mer
3nzx 5-mer
3rni 21Z
3tc5 3T5
3uvw 12-mer
3wuv 14-mer
4gkm 683
4h3b 10-mer
4kp4 ANP
4m5i YH6
5ahw CMP
5aut 2AN
5diq 5B9
5fdz 5X0
5hm3 649
5ohy 9VH
5svi 8-mer
5ubg PRT
6cbf EWD
6evo 9-mer
6g2f EHW
6g8i 11-mer
6hf5 G1N
6hwz GXE
6ipk 8DG
6pnm XX0
6qqq JDE
1ft7 PLU
1xur PB5
2p9a YE6
2qrg M07
3iqv 6-mer
3kag 4D7
3w37 ACR
4duh RLI
4iif CTS
4u73 Q02
4zs3 A4F
5tbp 7A4
6ar9 3L4
6dnp GZV
6uvv QJV
1ocq IFM-BGC
1ogg 3-mer
1oxr AIN
1rnt 2GP
2c5o CK2
2ko7 JZF
2lha IHP
2mnz 10-mer
2nxm 10-mer
2qdt I38
2xey YVQ
3kjn B93
3s1g ITE
3t4p 4-mer
3twr 16-mer
3vfq AR6
4ezz 7-mer
4fxf FBP
4g0l GSH
4m0z M0Z
4ono PMK
4qok 10-mer
5h21 RMR
5otz AUT
6arn BQY
6cj5 F4G
6dq5 H6G
6hv7 GQQ
1kll _MC
2pmn K51
3kqs AX7
3ov1 5-mer
3qj0 QI3
3t7g 17-mer
3tjm 7FA
3uu1 14B
3wk6 S0B
4a6s GS9
4b70 WM9
4bw2 UTH
4ezq 9-mer
4ezr 8-mer
4lk6 GAL-LRD
4mk0 29X
4qvq BO2
5a7j K2Y
5aia KWB
5emb 8-mer
5f91 5WJ
5g1p CP
5hg1 62C
5lu2 13-mer
5q10 9M4
6d1x PA7
6oh2 C5P
6qhc 135
1nw5 SAM
1o2r CR9
1ox9 11-mer
1re1 NA3
2brg DFY
2mlm 2W7
3b2t M33
3bcs CJB
3ilq 1O2
3nsq CHZ
3qiz QI2
3rth RTH
3wqv 5-mer
4cwo T62
4few PP2
4h2m 0YV
4ifh 1EF
4je8 3-mer
4m0r 644
4mds 23H
4qz2 04C
5e0j 5LJ
5mxr JTY
5o9q 9PH
5oje VSK
5trk 7HH
5ty1 7QV
5ty9 7QV
5wag A0V
5x13 HC4
5zyg 9N3
6a04 C2E
6asu BVS
6f8b CXH
6g84 16-mer
6g85 16-mer
6iht 3-mer
6pvu P0S
6t1m M8K
7prc CET
16pk BIS
1bq4 BHC
1f3j 14-mer
1gi9 123
1gjd 136
1h1h A2P
1irs 11-mer
1j17 ZEN
1o5c CR9
1pw6 FRB
1ucn ADP
1w4o UA3
1zea 9-mer
1zz2 B11
2gnf Y27
2gnj Y27
2gz2 A2P
2hxm 302
2koh 16-mer
2qbx 12-mer
2rfy CBI
2wzm NA7
2xow ISM
2xwy IB8
2zxd ZXD
3dne LL1
3ds3 12-mer
3h85 8-mer
3ijz 15C
3iof IFS
3lq2 TDP
3lq4 TDP
3ms9 MS9
3n1c F6P
3n5j GO1
3nti 13-mer
3o6t PX5
3osi XDH
3ppp BET
3q71 AR6
3qxt MTX
3udp 09D
3vbw 0FN
4kup 1TZ
4lrr CF9
4r5g 3JE
4u71 Q03
4z8d 4LB
5cgj 51M
5dhs 5AG
5dkr 5CZ
5ev8 3R9
5ioy 6C5
5ja0 FPP
5ksv 15-mer
5u6k 13-mer
6di0 GJG
6f4n AKG
6ms1 8-mer
6mtu 8-mer
6p10 SKE
1b4z 3-mer
1ndw FR2
2q38 LSA
3dcq 2G0
3lc3 IYX
3pxy JWS
3pxz JWS
3wqw 6-mer
4m5k YH3
4mh7 MH7
4qp7 363
5ema 8-mer
5tzo 7V7
5o5m 9LQ
5ot3 9LQ,18-mer
5zms 4-mer
6bhv DQV
6ert BVZ
6hvs GRT
6ibv H9E
6jam TRE
6mxd IMP
6pu3 4-mer
1fh7 2-mer
1hk5 T44
1q8w M77
1s89 PGA
1zrz BI1
2jfz 003
2k3w 16-mer
2lsr 16-mer
2qq7 SR2
2vgc V35
2vvt I24
3aw0 6-mer
3e16 B4C
3m59 11-mer
3mle ADP
3mqf 20X
3okh OKH
3pb8 AHN
3qck NX5
3qxh ADP
3r01 UNE
3rjc 06Z
3tz2 CLT
3ueu DAO
4drm 0MC
4drn 0MC
4e81 10-mer
4f7j 0SU
4fk7 P34
4gue QCT
4idn GNP
4ih7 1ER
4j70 1KR
4non GDP
4o7e 2RN
4utx 9-mer
4uua 9-mer
4x6s 11-mer
4y59 T21
4zv1 ARG
5d24 L26
5d3j L33
5d6q 57V
5edd DUP
5hjd 7-mer
5n7x 12-mer
5w1e PHB
6a9o 6B3
6cf6 13-mer
6gxg FFN
6gxy FFN
6iot ARG
1okw 7-mer
2bfr ADP
2pv3 12-mer
2xl2 14-mer
2xl3 14-mer
3pj3 04L
3r24 SAM
3tdj 3TJ
3u1i 5-mer
4flk Y10
4j2c 17-mer
4pkv 30R
5b5f 6F3
5b5g 6FX
5du4 5FF
5nfa 8VQ
5q17 9MV
5twj SAM
5xup 12-mer
5yie 8VF
6a03 2BA
6ccm EXP
6d4w FWJ
6fc6 11-mer
6qtm 17-mer
1v0o INR
1w4q UMF
2brn DF1
2oz6 CMP
2qft GPJ
2vcb OAN
3n9s TD4
3sb0 I93
3twx 16-mer
4jaj XU1
4l1u 13-mer
4omj 2TX
4qz5 04C
4r5x R5X
4w9g 3JV
5a7i B6K
5akz 6NX
5c7c 4YC
5gs9 ARG
5iq6 6CJ
5kxc 6Y2
5vlk 11-mer
6bcr 14-mer
6fdp 9-mer
6m8a LU2
6q2y HCQ
6t1i M7W
1qca FUA
2az5 307
2lsv 9-mer
2x7u WZA
3bmo AX4
3chp 4BO
3g2u 13-mer
3sz9 I3E
3tkw 017
3zrc L8B
4jfs 16Z
4pl4 31K
4r6w SAH
4r6x SAH
4yzm 4K4
4zx6 4U6
5hwu DUP
5ir1 12-mer
5irr GSP
5ltn XI7
5mxo 3-mer
5v5d 8OY
6cj1 F2S
1b46 3-mer
1ckb 10-mer
1f5l AMR
1kfy BRS
1s5q 16-mer
2uw4 L15
2vip L1R
2x2l X2L
2yjq 3-mer
3bbf GDP
3coj 13-mer
3hxc BD6
3o5x JZG
3t4h MD5
3zmh L62
4e70 N7I
4gxl 14-mer
4j46 4-mer
4n9b 2HH
5e0m 13-mer
5ect DUP
5faq 5VW
5g5f GSH
5ief NBV
5urj 8LS
5urm 8LV
5vqq 9JP
5xpi 8C3
6ajy A0R
6d07 16-mer
6ei4 B5N
6g0w EGW
6qlp J3Q
6sfc L9T
1c88 OTA
1wum NP2
2wc4 AMF
2xzw AKG
3che 4-mer
3pcu LX8
4fll YZ6
4mhs 26Q
4u0g 7-mer
4wy1 3VO
5hrv 64C
5hrx 64F
5y59 12-mer
5yls Y50
6d08 16-mer
6p5w O0A
1a69 FMB
1di9 MSQ
1g9a BAB
1g9b BAB
1g9c BAB
1g9d BAB
1h6h PIB
1jg0 DDT
1o0f A3P
1p4u 13-mer
1pdq 18-mer
1pr1 FMB
1srg MHB
1v2h GUN
1vyq DUX
1w0x OLO
1xbb STI
1yxd LYS
2fsa 15-mer
2gph 16-mer
2ke1 10-mer
2m3o 11-mer
2o1v ADP
2oyk 9MR
2q7q C2B
2vj1 XP1
2vk6 DAN
2ww0 SWA
2zxb ZXB
3b9s RW1
3btr 15-mer
3ckr 009
3cpc C52
3ebb 10-mer
3elj GS7
3eql MXP
3gpo APR
3hs8 12-mer
3jzf JZK
3jzi JZL
3p8h P8H
3p9l 8-mer
3pgl RZX
3ppo DCK
3q2a PAB
3r8u Z31
3ri1 3RH
3upv 7-mer
4dhu 0KH
4dx9 15-mer
4e5i 0N9
4emt C2E
4jvi QZN
4mic 26Y
4nuf 16-mer
4o55 LF9
4ob0 PBC
4oem 2-mer
4wi1 3O6
4x1q 10-mer
4xsy 42T
4xue 43J
4z0d 13-mer
4z0e 13-mer
5a85 78J
5ajp 17-mer
5bwb 4VV
5dah 11-mer
5eyr 5T0
5icz 12-mer
5n16 8FN
5v3r 18-mer
5vnb 10-mer
5w19 9TD
5x9o 80R
5yji 8WO
6d2o 4MZ
6eeb J6P
6fvn 6-mer
6ml9 ARG
6qha J2Q
6qqu JF8
6r1w JPW
1hk4 T44
1mfd 3-mer
3fcb IFB
3m53 11-mer
3v2o 19-mer
4m3f 2D1
4mzk 19-mer
4or6 GDP
4u1b Q08
4wvt 6-mer
4x6k 3XR
5d0j 9-mer
5eij 5OT
5j47 6JJ
5km0 IMP
5n2z 8JH
6ezi 10-mer
1al8 DHP
1lvu 9PP
1mqj HWD
1oim NOJ
1y20 1AC
2f6z UN5
2w9r 11-mer
3rpy 27Z
3sqq 99Z
3tv5 RCP
3uig 15-mer
3v3m 0EN
4h2j 0YU
4hbw 14Z
4ipi LMR
4m7y 2GH
4qag F95
4r07 UCG
4us3 TRP
4us4 TRP
4xjr OEL
4yb6 HIS
5ayy NTM
5g1z U53
5ks7 2BA
5mlo 15-mer
5n17 8FK
5t4u 12Q
6g0z GDP
6h1u ASP
6pno ORM
6qmu ZCQ
2c80 GTX
2n14 49H
3arx POY
3ftq GNP
3gjq 5-mer
3hxe BD8
3ml4 13-mer
3ozs OZS
3q1x SER
3rzi TRP
3wi6 YRZ
4b3u NWL
4giu 636
4mcd 22L
4mep 24Y
4xy9 43U
5cqx 15-mer
5n8e 13-mer
5nf9 8VW
5nhz 8XZ
5q12 9MA
5zh5 9CX
6eb1 J3M
6fav 8-mer
6u6w Q0Y
1aqc 10-mer
1hee LHY
1jwu 13-mer
1k06 BZD
1k08 BZD
1zgi 382
2qnb BZD
3atv ADP
3efs ATP
3hkq 1SD
3k4q IHS
3kqt ES7
3nee B72
3nrz HPA
3qiy QI1
3v3v MYU
3vb5 5-mer
3vv7 0B1
3zyr 8-mer
4j06 1JG
4mg5 27E
4o78 SAV
4wrq 18-mer
5l4m SBK
5o9y 9PN
5u14 7PV
5wp5 SAH
5yr6 TN4
6ap7 BNY
6cd4 EX1
1ql9 ZEN
1wb0 5-mer
2fxv 5GP
2gkl PD2
2gqn BLP
2h13 10-mer
2ltz 15-mer
2xyu Q9G
3bc4 LLG
3e9b S2C
3g8e IS1
3hkn MFS
3r8i XCX
3v2x 11-mer
4b9h 4-mer
4blb 17-mer
4ef4 C2E
4ep2 8-mer
4ie2 1EC
4k6w 1P0-18D
4k76 10-mer
4lkd 4-mer
4rcp 5-mer
4wgi 3M6
4yef 4CQ
4yx9 4HY
5jnn 6LM
5l26 URI
5llm 6Z6
5u11 7PS
6an1 BKY
6ep4 DME
6of5 MFJ
6pgc OJJ
6qls HRK
6tld NK5
1adl ACD
1oy7 9-mer
1w6y EQU
1yvz JPC
2nng ZYX
2qaf U5P
2qlj 5-mer
2qn3 F55
3bv9 6-mer
3ldq 3P1
3mf5 HJZ
3ncq ATP
3u3z 4-mer
4c1d X8Z
4el9 AFE
4hby 13F
4kod ADP
4pyq 2X1
4qwi 3BV
5drt 5EG
5eou ATP
5obr 9QT
5ol3 18-mer
5q0l 9KY
5t4e 75L
6afe 72T
6cer TDP
6chq F0V
6erv 18-mer
6erw 18-mer
6fu1 E7Q
6gu3 FB8
6m8b KMP
6os5 TRP
6p7q 2-mer
6uyz 17-mer
1gpk HUP
1sgu MK1
2glm SCB
2h2d 18-mer
2hj4 PNZ
2oc1 HU2
3chf 5-mer
3lqj 9-mer
3qt6 2P0
3wmb NF1
4dpy 2P0
4du8 2P0
4el5 D1M
4g0k 0VS
4lke 4-mer
4lkf 4-mer
4oow CAQ
4xc2 11-mer
5cdh TLA
5dpw 14-mer
5etn 5RX
5jdi 6JO
5uci 874
6aee 9-mer
6ap6 TLF
6cb5 EV7
6e5g HUY
6eyb C3Z
6g15 C1Z
6imr AJX
6n0j K8S
1g3e 109
1hs6 BES
1ke0 CVB
1thr 13-mer
2h2j SFG
2lty 15-mer
2m0o 11-mer
2ohu IP7
2qhd DAO
2vd7 PD2
2xke WI2
3e85 BSU
3sw9 12-mer
3tif ADP
3tww 16-mer
3ud8 GNX-IDY
3zyb 4-mer
4ebv 0O7
4f7v J1D
4hlw 17W
4kz0 1UJ
4qvw BO2
4umq B5S
5mek A3P
6baw D57
6g8m EQE
6n8y KFY
6olx KFY
6pyb P5G
1hy7 MBS
1kyn KTP
1qbv PPX
1uyi PUZ
2h6b 3C4
2ltx 15-mer
2v22 C35
2wic GNP
2xpa 4G5
3e37 ED5
3fc8 IFA
3fzc MXF
3hkt 2SD
3hxb BD5
3m1k BEW
3so6 14-mer
3tgs 03G
3vjt 10R
4btm F8E
4cl6 7SB
4ej8 1F1
4hxr 1A4
4hxs 1A3
4z88 17-mer
5chk 55R
5e1d 6-mer
5exx C2E
5i83 68Y
5kbi CAQ
5o9r 9PK
6f08 13-mer
6ggb EXQ
6ggf EXQ
6ma2 J9S
1bp0 UMP
1bq3 IHP
1f8b DAN
1m7i 5-mer
1mmr SRS
1mxu BWD
1my3 BWD
1nym CXB
1ow6 13-mer
1ow7 13-mer
1ow8 13-mer
1pz5 8-mer
1r9l BET
1t1r IMB
1trd PGH
1tv6 CP9
1uu9 BI3
1uvs I11
1yi3 LY2
2c1p FNZ
2f35 UBC
2g24 7IG
2i80 G1L
2jdm MFU
2qg2 A91
2wzz ZX1
3arr PNX
3b4p 3B4
3gwx EPA
3ken ZZD
3l6h BET
3m57 11-mer
3pch CHB
3pma SCR
3qcl NXV
3rk5 07Z
4aph 8-mer
4c5d X0R
4ij1 17C
4jlh 0L9
4m3p HCS
4nwd 2QD
4ozj ADP
4ozn ATP
4pin AVI
4rqz 10-mer
5anq 5YQ
5ep7 5QR
5eqp 5R9
5fjw 9-mer
5fns XYY
5jiq 27M
5jsj 6PD
5l9o GOP
5lax 15-mer
5lsg QZQ
5m2v 7E5
5mqe PKU
5o1i 9GH
5tef GTG
5yid K95
6bj2 9-mer
6c3u NY2
6ny0 LBA
6r1d JP5
6s43 KUE
1dzm BZM
1u2r GDP
1xxe TUX
1y3a 16-mer
2aia SB8
2j47 GDV
2mps 16-mer
3arn MSJ
3gqo APR
3kai 4FI
3tjh 9-mer
4dro 0MD
4drp 0MD
4fgt 4-mer
4kmd 17-mer
4lwt 20Q
4m3d 2H2
4tun MVH
4u6z Q07
4uma GZ3
5a4l ZC3
5cbs E42
5etm 5RW
5ey9 5SV
5lt6 76J
5m7t GDV
5mqx APR
5mym HYV
5u13 YH5
5u5t 7W7
5xs8 2-mer
5yv5 18-mer
6aff 72U
6mil 19-mer
6mm2 ATP
1abf FCA/FCB
1gja 135
1h9z RWF
1nu8 3-mer
1p28 HBS/HBR
1r5n GDP
1xot VDN
2a3w CPJ
2qnz DFD
2vpo 6CS
2wa8 10-mer
3l4t BJ1
3ob1 12-mer
3qci NX3
3rl4 5GP
4fev PP1
4nxv GDP
4uxj TTP
5ab1 4-mer
5iz9 9-mer
5zdg AR6
6cjh ET8
6d8v PBE
6hgg HCY
6mso JYD
6n96 LCV
6ott N7Y
1fq7 2Y3
1fw0 KAI
1y98 12-mer
2qln F59
2qu2 251
3ivv 10-mer
3k0k 4-mer
3k5f AYH
3ng4 2-mer
3qlc 15-mer
3s7f 13-mer
4b60 17-mer
4f5y C2E
4ofb 14-mer
4p2t 24Q
4pnc 7NP
4pox 2W2
4tmp 11-mer
4xta DIF
5agr A52
5e1o 6-mer
5ksx 7AM
6a6w 17-mer
6afd 72S
6oag M2Y
6q9y HRQ
1a4q DPC
1dzp BZQ
1h0a I3P
1ijr CC0
1syi CPW
2q6f 6-mer
2wr8 SAH
3ggc H26
3gs7 8BD
3lp7 HAR
3p2h NOO
3pty AFO
3run 7-mer
3u10 CMP
4bdk RQQ
4dju 0KK
4fli Y16
4j26 12-mer
4mgb XDH
4osf 4MT
4qz1 04C
4rsp 5-mer
4tju CNQ
5ave SER
5e3a 5-mer
5tbn 12-mer
5tp0 BRN
5uxm TRP
6buu 10-mer
6csf DAL
6d1u 20-mer
6fau 8-mer
6gnr 6J3
6n3y HHJ
6r1b CH5
6tl2 NJZ
2iko 7IG
3mi3 LYS
3my1 RFZ
4mp2 PV1
6om4 7-mer
1anf GLC-GLC
1b4h 3-mer
1lf8 12-mer
1lv8 9PP
1nnk CE2
1q65 BHB
2cn8 DBQ
2fie A74
2gg9 U16
2y4k GDP
3gbq 10-mer
3piz 03C
3s22 3S2
4gw5 12-mer
4jft 1KN
4kot CE3
4mvn I1S
4qz0 04C
4zly 4RU
5dtw 5F9
5mnr JC2
5nka 91H
5owa B0H
5txy 7Q1
5ty8 7Q1
5xag 93X
5ye7 8U0
6ak4 PD9
6dcy G5V
6dzx MED
6ekq B0H
6gdy AKG
6nxz D49
6t1n M7Z
1g7f INZ
1gi1 BMZ
1nlo 9-mer
1o2s CR4
1xh5 R68
2hf8 GSP
2hz4 4ST
2r0z 6-mer
2xde 1B0
2y7p SAL
3pd2 A3S
3t3y MD6
4j77 6-mer
4jmu 1ML
4n6g 2GQ
4n7j 2GQ
4n7m 2GQ
4qb3 30M
4rrq A3S
4x3e 13-mer
4xcb HY0
5fb0 15-mer
5gu4 9-mer
5nn5 NOJ
5o4s 9KW
5u0f 7R1
6c7w LMS
6dgo GD4
6gfm 0O2
6i74 H5Z
1g85 3OL
1uh1 NGA-AMG
2cbv CGB
2co0 15-mer
2nww TB1
2qic 12-mer
2qyk NPV
2wxd E18
2zkj ADP
3bxe 13P
3d2r ADP
3iw6 PP0
3m58 11-mer
3qch NX2
3vp1 04A
3zdv F1A-MMA
4c5w NM3
4d2r DYK
4ie4 8XQ
4ifi 6-mer
4jfm 1KZ
4kp8 E1G
4n7h 13-mer
4oq6 2UV
4pf5 M3N
4qfg AMP
4tmf JS2
4uc5 PHE
4x8p 12-mer
4y6r RF7
4ycu KRS
5alx DUL
5aqz SGV
5hrw 64E
5ii1 6BL
5iv4 LRI
5jnc 6LH
5lkr 6YC
5mav 19-mer
5vwk 8-mer
5xvw 14-mer
5yib 8VC
5zxk H6P
6dd0 P9T
6fgc D95
6grp F4Z
1pot SPD
1pyn 941
1tys TMP
1uef 13-mer
2h4k 509
2ioa GGA
2o0u C0M
2qtr NXX
2r3y 10-mer
2uy5 H35
3bmq AX5
3bvb 017
3ga5 RGG
3h0b B35
3hmp CX4
3i73 ADP
3mvj XFE
3sgx 0FW
3t3g GPU
3tz4 03H
4f6s 0SQ
4knx 1S9
4lv3 25N
4tq3 GPP
4u7v 3EN
4uvb D51
4w9f 3JU
4zs2 FLU
5avf TAU
5tg2 V69
5tq1 11-mer
5w6u 12-mer
5xzr 8J6
6a5e 15-mer
6af9 ISN
6afa ISN
6cen 7-mer
6f29 CGW
6g14 G4P
6g91 EQW
6h7d BGC
6qr2 JQB
2ajb 0QG
2y58 V38
3c1n THR
3lfn A27
3tza TZG
4nni VGL
4rt0 C2E
4ura LEL
6bw4 12-mer
6gr7 F52
6hm6 GDK
6hpg 8-mer
6hs0 GNW
6izq XJ2
6s0e DAN
1b2i AMH
1ggn GLS
1t08 15-mer
1xh3 14-mer
2gc8 885
2uym K03
2wqp WQP
3cn0 LJ1
3da9 44U
3kgt GEN
3qtq X35
3qts X46
3u51 6-mer
3vgc SRB
4i9c 5-mer
4k55 H6P
4qwu BO2
4qxo 1YE
4qz3 04C
4wz5 3VU
4zba GDS
4zgk 4NX
5cks 52L
5h8x 5XT
5iza 9-mer
5lpk XDM
5oa6 9PT
5zu0 SAH
5zzw SAH
6dgq GBV
6ewe C0W
6gfz EXE
6hs4 GON
1a8i GLS
